22:07:57 macro number 658 / 3982, complete paths 0, partial paths 131000 (to-do list 19 / 66)
22:08:24 macro number 658 / 3982, complete paths 0, partial paths 132000 (to-do list 29 / 66)
22:08:53 macro number 658 / 3982, complete paths 0, partial paths 133000 (to-do list 9 / 66)
22:09:20 macro number 662 / 3982, complete paths 0, partial paths 134000 (to-do list 12 / 66)
22:09:49 macro number 683 / 3982, complete paths 0, partial paths 135000 (to-do list 2 / 66)
22:10:16 macro number 691 / 3982, complete paths 0, partial paths 136000 (to-do list 5 / 66)
22:10:44 macro number 698 / 3982, complete paths 0, partial paths 137000 (to-do list 3 / 66)
22:11:11 macro number 700 / 3982, complete paths 0, partial paths 138000 (to-do list 2 / 66)
22:11:41 macro number 759 / 3982, complete paths 0, partial paths 139000 (to-do list 5 / 66)
22:12:09 macro number 772 / 3982, complete paths 0, partial paths 140000 (to-do list 5 / 66)
22:12:36 macro number 776 / 3982, complete paths 0, partial paths 141000 (to-do list 2 / 66)
22:13:04 macro number 777 / 3982, complete paths 0, partial paths 142000 (to-do list 1 / 66)
22:13:32 macro number 780 / 3982, complete paths 0, partial paths 143000 (to-do list 7 / 66)
22:14:01 macro number 781 / 3982, complete paths 0, partial paths 144000 (to-do list 4 / 66)
22:14:30 macro number 785 / 3982, complete paths 0, partial paths 145000 (to-do list 6 / 66)
22:15:00 macro number 790 / 3982, complete paths 0, partial paths 146000 (to-do list 3 / 66)
22:15:29 macro number 795 / 3982, complete paths 0, partial paths 147000 (to-do list 7 / 66)
22:15:59 macro number 797 / 3982, complete paths 0, partial paths 148000 (to-do list 4 / 66)
22:16:28 macro number 802 / 3982, complete paths 0, partial paths 149000 (to-do list 4 / 66)
22:16:58 macro number 806 / 3982, complete paths 0, partial paths 150000 (to-do list 4 / 66)
22:17:28 macro number 818 / 3982, complete paths 0, partial paths 151000 (to-do list 3 / 66)
22:17:58 macro number 841 / 3982, complete paths 0, partial paths 152000 (to-do list 1 / 66)
22:18:28 macro number 869 / 3982, complete paths 0, partial paths 153000 (to-do list 5 / 66)
22:18:58 macro number 890 / 3982, complete paths 0, partial paths 154000 (to-do list 6 / 66)
22:19:27 macro number 904 / 3982, complete paths 0, partial paths 155000 (to-do list 6 / 66)
22:19:56 macro number 918 / 3982, complete paths 0, partial paths 156000 (to-do list 37 / 66)
